category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,3/332,25/5974,0.12,2.1592771084337348,1.4089125523421844,0.15924868420905675,0.9207469377905463,0.9207469377905463,79644/3292/1588,3
NA,NA,hsa04082,Neuroactive ligand signaling,7/332,81/5974,0.08641975308641975,1.5550349546333482,1.2199537937629028,0.1621871106732692,0.9209910927517788,0.9209910927517787,5031/5029/2790/2770/153/2898/2787,7
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,3/332,26/5974,0.11538461538461539,2.0762279888785913,1.3339951010815907,0.1730788106552702,0.9655975752346653,0.9655975752346654,23327/3479/486,3
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,3/332,27/5974,0.1111111111111111,1.9993306559571618,1.2623822557409916,0.1872327173818525,0.9915929491154466,0.9915929491154466,55568/57452/8693,3
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,9/332,116/5974,0.07758620689655173,1.3960843373493976,1.0449385183844335,0.1949392254707246,0.9915929491154466,0.9915929491154466,5571/3586/51422/23678/8743/3479/595/10769/7046,9
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,5/332,56/5974,0.08928571428571429,1.606604991394148,1.1062703455698075,0.19860549663171068,0.9915929491154466,0.9915929491154466,92745/81539/2790/2770/2787,5
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,5/332,56/5974,0.08928571428571429,1.606604991394148,1.1062703455698075,0.19860549663171068,0.9915929491154466,0.9915929491154466,1305/1296/3783/23428/486,5
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,6/332,71/5974,0.08450704225352113,1.5206176819955881,1.0704353807312268,0.200660012717806,0.9915929491154466,0.9915929491154466,3586/836/7124/3909/2335/3918,6
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,2/332,15/5974,0.13333333333333333,2.399196787148594,1.3160927428821243,0.20136662912933576,0.9915929491154466,0.9915929491154466,8706/28,2
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,6/332,72/5974,0.08333333333333333,1.4994979919678715,1.0343062538232934,0.20949078994044246,0.9915929491154466,0.9915929491154466,22801/3479/6442/7124/7168/153,6
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,5/332,58/5974,0.08620689655172414,1.5512048192771084,1.0232027023195103,0.21871824636995546,0.9915929491154466,0.9915929491154466,9123/5315/3939/4233/5224,5
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,11/332,152/5974,0.07236842105263158,1.302195624603678,0.9154246944831109,0.22358478397286577,0.9915929491154466,0.9915929491154466,5336/836/5534/7422/1827/440738/595/2790/3717/4772/2787,11
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,6/332,74/5974,0.08108108108108109,1.4589710192119831,0.9636600968393805,0.22754953666742517,0.9915929491154466,0.9915929491154466,5336/7422/3479/399694/4233/3717,6
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,8/332,105/5974,0.0761904761904762,1.3709695926563397,0.9302499733666991,0.22764879472168964,0.9915929491154466,0.9915929491154466,490/3753/5525/2770/7168/153/817/486,8
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,8/332,105/5974,0.0761904761904762,1.3709695926563397,0.9302499733666991,0.22764879472168964,0.9915929491154466,0.9915929491154466,5571/51422/440738/595/2790/2770/7046/2787,8
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,8/332,105/5974,0.0761904761904762,1.3709695926563397,0.9302499733666991,0.22764879472168964,0.9915929491154466,0.9915929491154466,3600/836/8737/7124/4217/330/83786/6352,8
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,5/332,59/5974,0.0847457627118644,1.5249132121707167,0.9828446859032585,0.22900367759747692,0.9915929491154466,0.9915929491154466,5230/2023/5315/5224/1491,5
