ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_M_PHASE,REACTOME_M_PHASE,344,-0.7725394482492464,-1.7025934381978345,6.004163244392692e-12,7.301062505181512e-10,6.547698022306135e-10,973,"tags=13%, list=6%, signal=13%",PCM1/CHMP4C/CLASP2/PPP2R2D/LEMD2/CEP63/PSMA6/DYNC1I1/ANAPC2/PRKAR2B/CHMP4B/NUP42/H4C4/NUP160/SET/PPP2R5A/LBR/SEH1L/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/CEP43/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_MITOCHONDRIAL_BIOGENESIS,REACTOME_MITOCHONDRIAL_BIOGENESIS,90,-0.8171616900835402,-1.6984713234702662,1.3330941033775585e-5,2.8439340872054577e-4,2.550481054661405e-4,442,"tags=8%, list=3%, signal=8%",DMAC2L/PRKAG2/MICOS10/MICOS13/ATP5MK/ATP5MJ/PRKAG1,Reactome
REACTOME_UCH_PROTEINASES,REACTOME_UCH_PROTEINASES,80,-0.8125385795550527,-1.6834147640560173,6.062584538727782e-5,0.0012407860792435724,0.0011127548286845057,1081,"tags=19%, list=7%, signal=17%",OGT/FOXK1/BAP1/PSMA6/UCHL1/H2AC15/H2AC21/H2AC12/H2AC11/H2AC19/H2AC25/H2AC8/H2AC20/H2AC6/PSMA2,Reactome
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,20,-0.9109311826166866,-1.6768309340435112,7.418154607398472e-4,0.013055781276129018,0.011708612709547839,29,"tags=15%, list=0%, signal=15%",NCBP1/PABPN1/NUDT21,Reactome
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,26,-0.8942664836055363,-1.675202534908899,8.328900625528996e-4,0.014264708676962334,0.012792796216527855,3,"tags=8%, list=0%, signal=8%",PFDN4/PFDN5,Reactome
REACTOME_NUCLEOTIDE_BIOSYNTHESIS,REACTOME_NUCLEOTIDE_BIOSYNTHESIS,14,-0.9346085546076817,-1.67474415213117,0.001312485722951423,0.021279768521452407,0.01908400293301999,84,"tags=29%, list=1%, signal=28%",GART/GMPS/ADSS1/ADSS2,Reactome
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,16,-0.9236043097943017,-1.6664904439391885,0.001155686313321795,0.019250884342456198,0.017264470376371733,186,"tags=38%, list=1%, signal=37%",HMGA1/H1-3/H1-1/H1-4/H1-0/H1-2,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,145,-0.7735214480977178,-1.6663600184941219,7.4401818531763265e-6,1.6155823452611453e-4,1.4488775187764425e-4,714,"tags=14%, list=5%, signal=13%",RAD9A/POLD3/H4C4/RAD50/SPIDR/H4C15/H4C11/H4C14/H4C5/H4C1/BLM/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,226,-0.7634589071753621,-1.6642692972447497,1.637112049135189e-7,4.147350524475811e-6,3.7194036905790702e-6,807,"tags=16%, list=5%, signal=16%",POLR2B/RDH5/GNG5/USF1/S1PR3/CBFB/H4C4/GNAI1/FABP5/GNG10/EEPD1/H4C15/H4C11/H4C14/APOD/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CHROMATIN_ORGANIZATION,REACTOME_CHROMATIN_ORGANIZATION,240,-0.7595332628416483,-1.6580744673680996,7.259884648545487e-8,1.9617821628069584e-6,1.7593545019633037e-6,514,"tags=14%, list=3%, signal=13%",TAF6L/H4C4/KMT2A/BCL7A/H2AC15/H2AC21/H4C15/H4C11/H4C14/H4C5/H2AC12/H3C1/H4C1/H3C6/H2AC11/H2AC19/H3C10/H2BC12/H2AC25/H2BC18/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
