source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
DC	Mast cells	TNF	FAS	1.0402297	0.0	0.8752534	3.2010939487419097	2.2527313972428478	0.04132054	0.7774484	0.0011448255063239488	0.5847968970405748	degenerated	True	pain_ligand:TNF
Macrophages	AF_inner	VEGFA	SIRPA	0.68181	0.1	0.2995615	0.10850943502406399	0.0970736200540605	0.005808965	0.67145246	0.4482099094034811	0.5850003598636655	degenerated	True	pain_ligand:VEGFA
Endothelial cells	Macrophages	CCL2	CCR1	0.72042704	0.0	0.47855443	1.9920815962243388	1.4079582473884114	0.047379058	0.7209113	0.001029233000031411	0.5850575453666516	degenerated	True	pain_ligand:CCL2
DC	Endothelial cells	TNFSF9	HLA-DPA1	0.28657958	0.03	0.06988005	0.328934060255536	0.36781047780693604	0.0014510637	0.49674803	1.0	0.5850909885471608	degenerated	True	pain_ligand:TNF
Endothelial cells	AF_outer	CXCL2	DPP4	0.26524213	0.0	0.06988607	0.17658425264373595	0.2996693621102913	0.0069404305	0.4967588	0.2052772460806017	0.5852377901144383	degenerated	True	pain_ligand:CXCL2
Macrophages	Naive B cells	TNF	VSIR	0.84688234	0.0	0.47861022	2.3882522335290064	1.4888161850426895	0.009554226	0.7209231	0.025556469801357774	0.5852857832993321	degenerated	True	pain_ligand:TNF
Fibroblasts	Macrophages	TNFSF13B	HLA-DPB1	1.34907	0.0	0.4786117	2.225292953120634	1.675006527905298	0.01133814	0.7209234	0.01207608348488405	0.5853428069407154	degenerated	True	pain_ligand:TNF
Classical monocytes	NK cells	TNFSF13B	HLA-DPB1	0.67958146	0.0	0.299395	1.5666373992955596	1.3405808726528141	0.0070925592	0.67139107	0.0525424792834266	0.5854570458186042	degenerated	True	pain_ligand:TNF
Endothelial cells	Classical monocytes	PIGF	FLT1	0.27396286	0.26	0.06993448	0.13504037835491275	0.45851687607140224	0.011067672	0.49684536	0.565885135056991	0.5861187646287307	degenerated	True	pain_receptor:FLT1
AF_outer	Fibroblasts	CXCL8	SDC2	0.80232704	0.26	0.29903826	0.11339943356295329	-0.9915023556065996	0.0018703938	0.6712596	1.0	0.5861995092554247	degenerated	True	pain_ligand:CXCL8
Tem/Trm cytotoxic T cells	NP_stressed_degenerative	TNF	VSIR	0.64194435	0.0	0.29894048	0.9404879789385918	1.5885450503458869	0.0059675802	0.67122346	0.10350413227990742	0.5863138595684917	degenerated	True	pain_ligand:TNF
AF_mechanical_stress	DC	SEMA3C	NRP2_PLXNA1	0.2679174	0.41	0.069965206	0.1499830842316182	0.07529409882771299	0.031133702	0.4969003	0.7928641345479516	0.5867058845838491	degenerated	True	pain_receptor:NRP2
Endothelial cells	Fibroblasts	TNFSF12	TNFRSF12A	0.63324356	0.55	0.30597213	-0.007300933047811611	-0.11811083202991124	0.007752698	0.6737838	1.0	0.5867139316582726	degenerated	True	pain_ligand:TNF
AF_inner	DC	VEGFA	SIRPA	1.0389396	0.0	1.0063884	0.6176734575421916	0.6880436109885941	0.01951544	0.78929204	0.006764233679501918	0.5869330880670838	degenerated	True	pain_ligand:VEGFA
NP_notochordal	Plasma cells	VEGFA	CD44	0.70749545	0.99	0.4795181	-0.25123472653951306	-0.31409323943118495	0.0016606445	0.7211137	1.0	0.5869427809330787	degenerated	True	pain_ligand:VEGFA
AF_outer	NP_mature_chondrocyte	VEGFB	ADRB2	0.63317806	0.0	0.3619914	0.34111388696946116	0.7590284423026843	0.014026098	0.69198424	0.048311447111093364	0.5869427809330787	degenerated	True	pain_ligand:VEGFB
Macrophages	AF_mechanical_stress	TNF	TNFRSF1A	1.0383538	0.0	0.9899727	2.4661691474863714	1.4067196476207258	0.024514452	0.78792125	0.005963467576966869	0.587829723818601	degenerated	True	pain_ligand:TNF; pain_receptor:TNFRSF1A
Tem/Trm cytotoxic T cells	Macrophages	CXCL8	SDC2	0.6328045	0.79	0.36914554	-0.08103640430057132	-0.3893545707744961	0.0023088935	0.6940659	1.0	0.5880299941389764	degenerated	True	pain_ligand:CXCL8
AF_inner	Fibroblasts	TNFSF10	TNFRSF11B	0.27479598	0.93	0.07007112	-0.2480537502957242	-0.7269676786063932	0.0037106753	0.49708933	1.0	0.5883201184924529	degenerated	True	pain_ligand:TNF
AF_mechanical_stress	NK cells	VEGFA	EGFR	0.85511553	0.0	0.48022968	0.47232715588982915	0.49318123996071894	0.034584712	0.7212628	0.03341523045108947	0.5884882552723982	degenerated	True	pain_ligand:VEGFA
