source_healthy	target_healthy	ligand_complex_healthy	receptor_complex_healthy	lr_means_healthy	cellphone_pvals_healthy	expr_prod_healthy	scaled_weight_healthy	lr_logfc_healthy	spec_weight_healthy	lrscore_healthy	specificity_rank_healthy	magnitude_rank_healthy	condition_healthy	is_pain_relevant_healthy	pain_categories_healthy	interaction_key	source_degen	target_degen	ligand_complex_degen	receptor_complex_degen	lr_means_degen	cellphone_pvals_degen	expr_prod_degen	scaled_weight_degen	lr_logfc_degen	spec_weight_degen	lrscore_degen	specificity_rank_degen	magnitude_rank_degen	condition_degen	is_pain_relevant_degen	pain_categories_degen	rank_diff
NP_fibrocartilaginous	Pericyte_SMC	CD99	CD81	1.9569575	0.23	3.828184	0.1313715360340854	0.20009919895260397	0.00916124	0.87768215	0.752538374591275	0.0008213143323293857	healthy	False		NP_fibrocartilaginous|Pericyte_SMC|CD99|CD81																	-0.9991786856676707
NP_stressed	Pericyte_SMC	GNAI2	CAV1	1.9288703	0.01	3.6488752	0.7741478155110372	0.6730054335790339	0.015398693	0.8750837	0.2261635856867343	0.0009807477335810383	healthy	False		NP_stressed|Pericyte_SMC|GNAI2|CAV1																	-0.999019252266419
unassigned	Pericyte_SMC	CALM1	AQP1	1.945929	0.0	3.5217593	2.104250602557636	1.5644571183687228	0.031999335	0.87313277	0.0009738183568207587	0.0009902821832449987	healthy	False		unassigned|Pericyte_SMC|CALM1|AQP1																	-0.999009717816755
NP_mature_chondrocyte	Pericyte_SMC	TIMP2	ITGB1	1.9201139	0.01	3.68327	0.44171159047428876	0.5146435140589123	0.0116546955	0.87559557	0.24336404242401946	0.0010191597264526532	healthy	False		NP_mature_chondrocyte|Pericyte_SMC|TIMP2|ITGB1																	-0.9989808402735474
Pericyte_SMC	Fibrochondrocyte_stressed	LGALS1	ITGB1	2.0085225	0.02	3.51218	0.337654461443831	0.048277623297864336	0.008023535	0.8729818	0.39336838184806483	0.0010191597264526532	healthy	False		Pericyte_SMC|Fibrochondrocyte_stressed|LGALS1|ITGB1																	-0.9989808402735474
NP_mature_chondrocyte	Pericyte_SMC	CD99	CD81	1.9171879	0.33	3.6756082	0.0917376126616629	0.05263947233158883	0.008796111	0.87548214	0.8997519632631803	0.0010484494224389563	healthy	False		NP_mature_chondrocyte|Pericyte_SMC|CD99|CD81																	-0.998951550577561
Pericyte_SMC	Pericyte_SMC	VEGFA	ITGB1	1.9123967	0.0	3.654556	1.056082697498947	1.139181915717841	0.023827221	0.8751687	0.013543634859531613	0.001078150967839136	healthy	True	pain_ligand:VEGFA	Pericyte_SMC|Pericyte_SMC|VEGFA|ITGB1																	-0.9989218490321609
Pericyte_SMC	Fibrochondrocyte_stressed	COL6A1	CD44	1.9107862	0.0	3.6314979	0.69417106633073	0.6733418657949928	0.018602481	0.8748225	0.013543634859531613	0.001108264233896458	healthy	False		Pericyte_SMC|Fibrochondrocyte_stressed|COL6A1|CD44																	-0.9988917357661036
NP_mature_chondrocyte	Pericyte_SMC	VCAN	ITGB1	1.9065729	0.0	3.6328871	0.651725600684171	0.9018233073164434	0.018940985	0.8748435	0.013543634859531613	0.0011490554244586312	healthy	False		NP_mature_chondrocyte|Pericyte_SMC|VCAN|ITGB1																	-0.9988509445755414
Fibrochondrocyte_stressed	Pericyte_SMC	LGALS1	ITGB1	1.9042335	0.12	3.6241822	0.2573884687185447	0.25678797162456646	0.008279403	0.8747121	0.5616280673705599	0.0011593674698646328	healthy	False		Fibrochondrocyte_stressed|Pericyte_SMC|LGALS1|ITGB1																	-0.9988406325301353
