names	scores	logfoldchanges	pvals	pvals_adj	cluster
SLC26A2	28.67581	2.07827	7.643017436055726e-181	1.8868578361442383e-178	6
BGN	28.39029	0.9381581	2.6650866745158927e-177	6.497148176635433e-175	6
SPTLC3	28.01901	2.3595498	9.533212422735889e-173	2.24007520338094e-170	6
ACAN	27.58658	1.2616645	1.6121712911030792e-167	3.493575187820373e-165	6
SLC2A12	27.553026	3.0256863	4.071015214618013e-167	8.72494612425221e-165	6
LRP1	27.454527	1.076652	6.134544097783707e-166	1.2864732638610283e-163	6
COL3A1	27.36994	1.4588786	6.253825526385255e-165	1.2838774656957013e-162	6
ASPN	27.02118	2.2870839	8.334132885959174e-161	1.6756762234521832e-158	6
SCRG1	26.948753	1.231429	5.899320157251326e-160	1.1740249084374756e-157	6
EPYC	26.752386	3.6948183	1.1583013070675906e-157	2.2818535749231536e-155	6
CTSD	26.577564	1.2018555	1.233608801940932e-155	2.3587325945347056e-153	6
OGN	26.538925	1.4150681	3.4472481070203816e-155	6.527347556428981e-153	6
MDFI	26.387554	1.3003945	1.9039134703141065e-153	3.503021170899624e-151	6
LOXL2	26.079142	1.6371392	6.287455141696294e-150	1.1460209124159141e-147	6
ITM2A	25.111967	1.3295703	3.6809046835804594e-139	6.242494264684322e-137	6
DKK3	24.957111	1.8129871	1.7876762323425516e-137	3.0056077206359293e-135	6
CSGALNACT1	24.569149	1.4695649	2.7002601673415362e-133	4.388597836971832e-131	6
R3HDML	24.28128	3.2747858	3.091303289478729e-130	4.86207161731481e-128	6
VKORC1	24.175297	0.92463917	4.047804553148283e-129	6.3155465760040775e-127	6
PLD3	24.011324	0.9454289	2.117921301706819e-127	3.2782396148561975e-125	6
HSPA1B	96.20788	4.07947	0.0	0.0	7
JUN	95.41391	2.89481	0.0	0.0	7
HSPA1A	92.24754	3.8255653	0.0	0.0	7
DNAJB1	90.502075	3.2323713	0.0	0.0	7
ATF3	89.887596	3.4962258	0.0	0.0	7
GADD45B	86.99192	2.4778318	0.0	0.0	7
DEPP1	81.99952	3.4633553	0.0	0.0	7
NFKBIA	79.363396	3.081839	0.0	0.0	7
SERPINA1	78.619064	2.4670682	0.0	0.0	7
CILP	78.17513	3.9815943	0.0	0.0	7
MT1G	75.2782	3.9902523	0.0	0.0	7
FOS	75.104996	2.3456466	0.0	0.0	7
RPS26	74.82606	1.809858	0.0	0.0	7
RHOB	74.35745	2.4372046	0.0	0.0	7
RRAD	74.01066	3.922601	0.0	0.0	7
ABI3BP	71.89134	2.4723053	0.0	0.0	7
TNFRSF11B	71.6855	3.1377254	0.0	0.0	7
SERPINE1	71.52282	2.9152372	0.0	0.0	7
EGR1	71.417336	2.26204	0.0	0.0	7
C11orf96	71.11437	2.9696195	0.0	0.0	7
CD83	70.43312	3.5718982	0.0	0.0	7
IER2	69.933525	2.1498759	0.0	0.0	7
OTUD1	69.728905	3.2873607	0.0	0.0	7
JUNB	67.90355	1.9318725	0.0	0.0	7
DUSP1	67.62499	2.2090418	0.0	0.0	7
NR4A1	67.13787	2.5130503	0.0	0.0	7
HSPB1	66.15332	2.6511388	0.0	0.0	7
TUBB4B	66.08837	1.9584134	0.0	0.0	7
CDO1	64.9989	2.6593447	0.0	0.0	7
OGN	64.77509	2.354044	0.0	0.0	7
TIMP3	64.69799	2.595036	0.0	0.0	7
BAMBI	64.41257	2.3853679	0.0	0.0	7
