names	scores	logfoldchanges	pvals	pvals_adj	cluster
SDCBP	16.741402	2.9589355	6.542997644051638e-63	2.0477066088326222e-60	7
CD44	16.683558	3.288388	1.7262567633157885e-62	5.300585389849272e-60	7
TNFAIP3	16.62491	4.9387	4.600496300179765e-62	1.3369370855200979e-59	7
CTSZ	16.543005	4.4341493	1.798211305022083e-61	5.045532892746445e-59	7
TMSB4X	16.349306	2.9803169	4.399569623516148e-60	1.1737474762803573e-57	7
GPNMB	16.138628	6.3596992	1.365442830018612e-58	3.5271772405909353e-56	7
VIM	16.032158	1.6063757	7.618991096439033e-58	1.937366579741388e-55	7
PLIN2	16.016033	4.839713	9.87533288456842e-58	2.4350176873252494e-55	7
TNF	16.003895	10.860397	1.2002725863394392e-57	2.915408368669856e-55	7
ABCA1	15.920223	6.352705	4.587368372759766e-57	1.097865189680771e-54	7
PLAUR	15.882765	3.2449815	8.341932671137213e-57	1.967487134638942e-54	7
CSTB	15.820944	2.8813784	2.231234367474485e-56	5.1873011566113953e-54	7
MARCKS	15.697222	5.2932577	1.5801150595178666e-55	3.5714989553602444e-53	7
SNX10	15.6243	7.9043612	4.97352532337041e-55	1.064988830428027e-52	7
SPP1	15.613786	4.683896	5.865076077088374e-55	1.239587637383587e-52	7
NFKBIA	15.255262	3.0498214	1.5188288172123675e-52	2.942550020394532e-50	7
SAT1	15.164318	2.2891414	6.092849676035345e-52	1.1665298309152849e-49	7
RBM47	15.022268	8.982844	5.2480486324345435e-51	9.705311755027246e-49	7
MT-ND1	14.989675	1.5867251	8.577244606229428e-51	1.5683829069862664e-48	7
ARL8B	14.825089	3.0614758	1.0084514465491994e-49	1.803465806718865e-47	7
FNIP2	14.753689	3.5781248	2.9129585267614224e-49	5.043136921756956e-47	7
CCL20	14.63155	6.8747106	1.767144864676446e-48	2.9647954152313903e-46	7
MALAT1	14.595407	1.4664712	3.0041809546556685e-48	4.988779679190444e-46	7
ATP13A3	14.575486	4.122445	4.0224748901431215e-48	6.546175636218916e-46	7
CTSB	14.52749	2.4484642	8.113934279104338e-48	1.2945702593935685e-45	7
KLF6	14.513534	2.6960392	9.946138426154918e-48	1.571489871332477e-45	7
FABP5	14.445787	3.8695195	2.664959187740835e-47	4.015698687156884e-45	7
ZEB2	14.397767	4.578919	5.344231050395467e-47	7.87480384553211e-45	7
RAB7A	14.39742	1.9547672	5.371163984601599e-47	7.87480384553211e-45	7
C11orf96	52.051968	3.3191612	0.0	0.0	8
INHBA	48.776516	3.016279	0.0	0.0	8
IER3	44.247524	3.2236335	0.0	0.0	8
BTG1	43.802288	1.283875	0.0	0.0	8
AL365357.1	43.106945	2.9007065	0.0	0.0	8
RPS26	42.971737	1.2080697	0.0	0.0	8
HBEGF	40.74957	2.3316264	0.0	0.0	8
CD55	40.36643	1.7253553	0.0	0.0	8
NFKBIZ	39.508556	2.797721	0.0	0.0	8
MMP3	38.02327	3.3616114	0.0	0.0	8
CLU	35.751995	1.4062536	6.160073745265406e-280	5.56939111835829e-277	8
FGF2	34.603573	1.86988	2.2323817537046016e-262	1.8164890329894344e-259	8
DDX21	34.336174	1.555556	2.2652690093957865e-258	1.7554756123289062e-255	8
RCAN1	33.72332	2.3358893	2.6317856609378827e-249	1.9468036293683228e-246	8
MTHFD2	32.97698	1.5627565	1.7370830944353448e-238	1.1778870949517e-235	8
HTRA1	32.352047	1.7765462	1.298307886329803e-229	8.126408670050467e-227	8
ERRFI1	31.825048	1.5482564	2.915317701322299e-222	1.6359958714247964e-219	8
PRDX1	31.723211	1.1206982	7.436575847903724e-221	4.034094511626173e-218	8
NFKBIA	31.28591	1.8299602	7.255390378045218e-215	3.8088459036228346e-212	8
